id,opponent,result,score_us,score_them
16935807,Pittsburgh,win,5,4
16935812,Montreal,loss,3,4
16935816,Ottawa,win,5,4
16935822,Quebec,loss,4,7
16935807,Pittsburgh,win,5,4
16935812,Montreal,loss,3,4
16935816,Ottawa,win,5,4
16935822,Quebec,loss,4,7
16935827,Calgary,loss,1,5
16935831,Las Vegas,loss,3,6
16935836,Dallas,loss,2,6
16935839,Dallas,win,5,0
16935843,Calgary,win,7,4
16935849,Montreal,loss,0,4
16935855,Calgary,loss,3,6
16935859,Montreal,loss,5,6
16935862,Quebec,loss,3,6
16935868,Calgary,loss,2,3
16935872,Las Vegas,loss,4,6
16935876,Las Vegas,win,6,3
16935883,Colorado,loss,3,4
16935887,Ottawa,win,4,3
16935876,Las Vegas,win,6,3
16935883,Colorado,loss,3,4
16935887,Ottawa,win,4,3
16935892,Las Vegas,win,6,5
16935900,Colorado,loss,3,5
16935903,Las Vegas,loss,2,6
16935911,Calgary,win,5,3
16935916,Quebec,loss,3,6
16935917,Colorado,loss,1,6
16935922,Ottawa,loss,4,5
16935930,Colorado,loss,3,4
16935935,Calgary,win,3,2
16935936,Calgary,loss,2,4
16935941,Ottawa,loss,4,5
16935949,Montreal,loss,2,6
16935953,Dallas,loss,2,3
16935956,Colorado,loss,3,5
16935964,Pittsburgh,loss,1,5
16935970,New York,loss,2,5
